case_id,case_name,tau,n,method,mean,range
2,Case 2: LLQR (Uniform design),0.8,2000,screen-seq(2)(ft),0.51,0.15
2,Case 2: LLQR (Uniform design),0.8,5000,screen-seq(2)(ft),3.7,3.3
3,Case 3: TVCQR (i.i.d. design),0.2,200,rq,0.25,0.032
3,Case 3: TVCQR (i.i.d. design),0.2,500,rq,1.0,0.37
3,Case 3: TVCQR (i.i.d. design),0.2,1000,rq,2.8,0.67
3,Case 3: TVCQR (i.i.d. design),0.2,2000,rq,9.7,3.6
3,Case 3: TVCQR (i.i.d. design),0.2,5000,rq,63.4,35.6
3,Case 3: TVCQR (i.i.d. design),0.2,200,seq,0.083,0.047
3,Case 3: TVCQR (i.i.d. design),0.2,500,seq,0.27,0.11
3,Case 3: TVCQR (i.i.d. design),0.2,1000,seq,0.84,0.42
3,Case 3: TVCQR (i.i.d. design),0.2,2000,seq,3.3,1.9
3,Case 3: TVCQR (i.i.d. design),0.2,5000,seq,15.6,10.5
3,Case 3: TVCQR (i.i.d. design),0.2,200,seq(ft),0.0032,0.014
3,Case 3: TVCQR (i.i.d. design),0.2,500,seq(ft),0.016,0.011
3,Case 3: TVCQR (i.i.d. design),0.2,1000,seq(ft),0.066,0.018
3,Case 3: TVCQR (i.i.d. design),0.2,2000,seq(ft),0.76,0.56
3,Case 3: TVCQR (i.i.d. design),0.2,5000,seq(ft),2.8,2.1
3,Case 3: TVCQR (i.i.d. design),0.2,200,screen-seq(1),0.17,0.076
3,Case 3: TVCQR (i.i.d. design),0.2,500,screen-seq(1),0.57,0.21
3,Case 3: TVCQR (i.i.d. design),0.2,1000,screen-seq(1),2.1,1.7
3,Case 3: TVCQR (i.i.d. design),0.2,2000,screen-seq(1),10.9,12.7
3,Case 3: TVCQR (i.i.d. design),0.2,5000,screen-seq(1),208.9,245.3
3,Case 3: TVCQR (i.i.d. design),0.2,200,screen-seq(2),0.18,0.086
3,Case 3: TVCQR (i.i.d. design),0.2,500,screen-seq(2),0.50,0.25
3,Case 3: TVCQR (i.i.d. design),0.2,1000,screen-seq(2),1.4,0.65
3,Case 3: TVCQR (i.i.d. design),0.2,2000,screen-seq(2),4.2,2.8
3,Case 3: TVCQR (i.i.d. design),0.2,5000,screen-seq(2),23.4,22.0
3,Case 3: TVCQR (i.i.d. design),0.2,200,screen-seq(1)(ft),0.023,0.0096
3,Case 3: TVCQR (i.i.d. design),0.2,500,screen-seq(1)(ft),0.28,0.11
3,Case 3: TVCQR (i.i.d. design),0.2,1000,screen-seq(1)(ft),2.1,0.87
3,Case 3: TVCQR (i.i.d. design),0.2,2000,screen-seq(1)(ft),16.5,6.9
3,Case 3: TVCQR (i.i.d. design),0.2,5000,screen-seq(1)(ft),280.7,101.5
