"case","n","p","replication","method","total_iterations","mean_iterations","median_iterations","max_iterations","elapsed"
1,500,4,100,"cold",184414,368.828,362,655,13.0510000000004
1,500,4,100,"seq_mst",53920,107.84,83,614,3.89699999999993
1,800,4,1,"cold",444443,555.55375,546.5,1009,135.527
1,800,4,1,"seq_mst",123184,153.98,109.5,841,42.633
1,800,4,2,"cold",464960,581.2,584,1174,150.068
1,800,4,2,"seq_mst",126391,157.98875,110,883,31.254
1,800,4,3,"cold",437397,546.74625,529.5,1089,127.711
1,800,4,3,"seq_mst",116899,146.12375,103,869,28.651
1,800,4,4,"cold",432613,540.76625,529,1063,58.706
1,800,4,4,"seq_mst",125911,157.38875,109,905,11.263
1,800,4,5,"cold",448559,560.69875,547.5,1083,52.731
1,800,4,5,"seq_mst",131859,164.82375,121,849,18.4350000000001
1,800,4,6,"cold",441815,552.26875,542,991,37.1469999999999
1,800,4,6,"seq_mst",117854,147.3175,105,793,8.74000000000001
1,800,4,7,"cold",424975,531.21875,518.5,1107,30.1370000000001
1,800,4,7,"seq_mst",131054,163.8175,121,947,9.553
1,800,4,8,"cold",460247,575.30875,572,1192,39.8630000000001
1,800,4,8,"seq_mst",127603,159.50375,112.5,929,16.1320000000001
1,800,4,9,"cold",455828,569.785,560.5,1150,57.049
1,800,4,9,"seq_mst",120605,150.75625,105,952,12.7280000000001
1,800,4,10,"cold",452710,565.8875,563,1070,48.788
1,800,4,10,"seq_mst",120391,150.48875,108.5,757,12.896
1,800,4,11,"cold",437054,546.3175,529.5,1015,45.732
1,800,4,11,"seq_mst",121954,152.4425,113,867,12.168
1,800,4,12,"cold",458578,573.2225,578.5,1037,51.8489999999999
1,800,4,12,"seq_mst",123931,154.91375,109,886,12.7089999999998
1,800,4,13,"cold",446514,558.1425,543.5,979,45.0509999999999
