"case","n","replication","total_iterations_direct","total_iterations_mst","reduction"
1,500,93,177972,52439,0.705352527363855
1,500,94,176277,51019,0.71057483392615
1,500,95,168787,53525,0.682884345358351
1,500,96,171320,55913,0.673634134952136
1,500,97,191490,50228,0.737699096558567
1,500,98,181841,55118,0.696889040425427
1,500,99,174056,54248,0.688330192581698
1,800,1,444443,123184,0.722835099214072
1,800,10,452710,120391,0.734065958339776
1,800,100,445241,124475,0.720432305201004
1,800,11,437054,121954,0.720963542262512
1,800,12,458578,123931,0.729749355616711
1,800,13,446514,125528,0.718871076830738
1,800,14,440392,129134,0.706774873294701
1,800,15,446633,122022,0.726795825655516
1,800,16,454919,121425,0.733084351280118
1,800,17,422832,120547,0.714905683581186
1,800,18,453243,115606,0.744935939440874
1,800,19,440907,119241,0.729555212323687
1,800,2,464960,126391,0.728168014452856
1,800,20,455160,126886,0.721227700149398
1,800,21,444242,126280,0.715740519806772
1,800,22,453112,120816,0.733363936510179
1,800,23,429923,123912,0.71178094682071
1,800,24,420626,122998,0.707583458939771
1,800,25,419499,128468,0.69375850717165
1,800,26,433961,127680,0.705780012489602
1,800,27,467615,126226,0.730064262267036
1,800,28,458467,123360,0.730929379868126
1,800,29,441736,121888,0.724070485538874
1,800,3,437397,116899,0.732739364924771
1,800,30,450346,124519,0.723503706039356
1,800,31,435820,124631,0.714031021981552
1,800,32,440850,126568,0.712900079392083
1,800,33,447693,129924,0.709792201352266
1,800,34,439328,122871,0.72032058052298
1,800,35,425579,128677,0.697642505856727
1,800,36,460133,123133,0.732396937407228
1,800,37,431312,129360,0.700077901843677
1,800,38,430025,127177,0.704256729259927
1,800,39,469951,126360,0.731120904094257
1,800,4,432613,125911,0.70895234308724
1,800,40,456086,126945,0.721664335235021
1,800,41,442158,129696,0.706674989483397
1,800,42,452861,126052,0.721654105785219
1,800,43,435795,127704,0.706963136337039
1,800,44,443298,123127,0.722247788169583
1,800,45,436796,118492,0.728724622020348
1,800,46,441559,126548,0.713406362456659
1,800,47,443561,124751,0.718751197693215
1,800,48,434992,128162,0.705369294147938
1,800,49,455976,125061,0.725728985736091
1,800,5,448559,131859,0.706038670498195
1,800,50,430951,124312,0.711540291123585
1,800,51,439408,129729,0.704764137202782
1,800,52,442387,127735,0.711259598496339
1,800,53,428662,123173,0.712657058474976
1,800,54,452667,127630,0.718048808506032
1,800,55,424227,124892,0.705601010779606
1,800,56,459106,127129,0.723094448776535
1,800,57,466310,128643,0.724125581694581
1,800,58,461324,121832,0.73590795189498
1,800,59,445169,125092,0.719001098459237
1,800,6,441815,117854,0.733250342337856
1,800,60,411398,125939,0.693875517139121
1,800,61,463394,125122,0.729987872091568
1,800,62,422775,130201,0.692032404943528
1,800,63,458707,122153,0.73370146956554
1,800,64,439815,120871,0.725177631504155
1,800,65,444723,129221,0.709434861700429
1,800,66,450530,126765,0.71863138969658
1,800,67,453582,134316,0.703877137981666
1,800,68,430239,128748,0.70075237251853
1,800,69,430076,123271,0.713373915307992
1,800,7,424975,131054,0.691619507029825
1,800,70,425745,121835,0.713831049102162
1,800,71,448196,125864,0.719176431739685
1,800,72,447042,127276,0.715292970235459
1,800,73,457182,126001,0.724396411057303
1,800,74,436059,121959,0.720315370167798
1,800,75,412235,125935,0.694506774048783
1,800,76,442254,123113,0.721623772764068
1,800,77,466804,128458,0.724813840498368
1,800,78,446057,121757,0.727037127541996
1,800,79,429863,121082,0.718324210271645
1,800,8,460247,127603,0.722751044547819
1,800,80,439150,123480,0.718820448593875
1,800,81,426240,131251,0.692072541291291
1,800,82,452184,127657,0.717687932346125
1,800,83,439776,122507,0.721433184166485
1,800,84,428732,126510,0.704920556431524
1,800,85,424142,122480,0.711228786585625
