"case","n","p","replication","seed","h_summary","mst_max_abs_diff","mst_mean_edge_weight","mst_max_edge_weight"
1,500,4,54,20860499,"0.6115,0.6313,0.6134,0.6313",3.5438318946035e-13,0.952054539114897,3.84806804439187
1,500,4,55,20860500,"0.5899,0.6376,0.6267,0.5954",7.90478793533111e-14,0.946956819984483,2.80444938224587
1,500,4,56,20860501,"0.6296,0.6498,0.6249,0.6293",1.00364161426114e-13,0.970999577373351,2.87988782166648
1,500,4,57,20860502,"0.6321,0.6196,0.6453,0.6339",5.01820807130571e-13,0.96071556392231,3.41752926674461
1,500,4,58,20860503,"0.6161,0.6204,0.6913,0.6253",1.3944401189292e-13,0.974088119266152,2.55385075828253
1,500,4,59,20860504,"0.6194,0.6317,0.626,0.637",6.61692922676593e-14,0.949336416160206,3.45422272736432
1,500,4,60,20860505,"0.6177,0.6015,0.6414,0.6245",2.35367281220533e-13,0.958340876626947,3.1761925423074
1,500,4,61,20860506,"0.608,0.6374,0.6277,0.6503",1.82187598340988e-13,0.951794640673474,3.55958986472458
1,500,4,62,20860507,"0.6559,0.6294,0.6331,0.6181",2.57571741713036e-13,0.953949120635344,2.52269115186293
1,500,4,63,20860508,"0.6514,0.659,0.6243,0.645",3.35731442646647e-13,0.965161458646651,2.75808204205303
1,500,4,64,20860509,"0.6338,0.5959,0.6467,0.6358",1.31672450720544e-13,0.956677702564518,3.19157293269363
1,500,4,65,20860510,"0.6673,0.603,0.6474,0.6314",1.20792265079217e-13,0.986050789743112,2.44669760360536
1,500,4,66,20860511,"0.6185,0.6234,0.6637,0.6188",1.18127729820117e-13,0.957913748004742,3.49719065659284
1,500,4,67,20860512,"0.6265,0.6463,0.6224,0.61",2.07500683302442e-13,0.953067586286071,2.61306796463129
1,500,4,68,20860513,"0.6052,0.6239,0.6139,0.6386",8.17124146124115e-14,0.956571836491785,2.82538756029267
1,500,4,69,20860514,"0.6212,0.6301,0.6348,0.6528",3.08197911635943e-13,0.970636524539538,3.31383791310965
1,500,4,70,20860515,"0.5979,0.615,0.6479,0.6762",1.74082970261225e-13,0.945888790512277,2.742559033001
1,500,4,71,20860516,"0.6178,0.6263,0.6263,0.5945",3.04645197957143e-13,0.972477568970968,2.9213152984417
1,500,4,72,20860517,"0.5935,0.6441,0.6092,0.6314",3.08197911635943e-13,0.964240560670668,2.6769723310594
1,500,4,73,20860518,"0.627,0.635,0.6347,0.6511",1.10578213252666e-13,0.951434345366728,3.20596696154812
1,500,4,74,20860519,"0.64,0.5834,0.6202,0.6238",9.50350909079134e-14,0.955172893849875,2.70825735577061
1,500,4,75,20860520,"0.589,0.6142,0.667,0.645",2.1582735598713e-13,0.945222933775125,2.83281253271175
1,500,4,76,20860521,"0.603,0.6955,0.6187,0.6052",3.27959881474271e-13,0.959155799562569,3.18008399998068
1,500,4,77,20860522,"0.6048,0.6368,0.6263,0.603",1.01030295240889e-13,0.963402593326978,3.09877962113607
1,500,4,78,20860523,"0.6399,0.6363,0.5944,0.6309",2.06945571790129e-13,0.967260103985392,3.73911870590807
1,500,4,79,20860524,"0.6383,0.642,0.6128,0.6063",4.33431068813661e-13,0.947874061081164,3.5632447417775
1,500,4,80,20860525,"0.6052,0.6182,0.6366,0.6225",1.29674049276218e-13,0.942728411494123,3.47481557499026
1,500,4,81,20860526,"0.6512,0.622,0.6471,0.6119",3.83137965798142e-13,0.95983781994337,3.37216896236772
1,500,4,82,20860527,"0.6223,0.6682,0.6009,0.6658",1.43773881688958e-13,0.943350474415197,3.3406455897096
1,500,4,83,20860528,"0.592,0.6093,0.6347,0.6376",1.68753899743024e-13,0.952683331274601,2.88140039844515
