case,n,p,replication,h_summary,input_max_abs_diff,mst_max_abs_diff,mst_mean_edge_weight,mst_max_edge_weight,input_mean_edge_weight,input_max_edge_weight
2,300,4,6,"0.6694,0.665,0.6828,0.6527",3.733124920302089e-12,2.41140440948584e-13,0.923760558637246,3.0410866816037587,3.8381730458025416,10.358423822678482
2,300,4,7,"0.6811,0.6541,0.6147,0.6285",1.0311751452718454e-12,4.354294702579864e-13,0.894148506377649,3.291337844787263,3.9409487963819525,9.62114279320092
2,300,4,8,"0.6926,0.6903,0.6455,0.672",7.203126983768016e-13,3.694822225952521e-13,0.8796181762704548,2.8847908192258123,3.8719051549460315,9.529999450573326
2,300,4,9,"0.6359,0.6724,0.6624,0.6747",9.805489753489383e-13,1.163513729807164e-13,0.922711386090548,2.460718434998457,3.8825861011063583,9.379597648938859
2,300,4,10,"0.651,0.655,0.6486,0.6435",1.979749697511579e-12,9.85878045867139e-14,0.9375188789417389,3.0614123086445586,3.8506170647713844,8.927093152631546
2,500,4,1,"0.6499,0.6388,0.6236,0.638",3.694822225952521e-12,3.6770586575585185e-13,0.8515401259849947,3.479691943742743,4.127685047431984,12.326619046462971
2,500,4,2,"0.628,0.6587,0.6297,0.6315",2.9047875216292596e-12,4.11226608321158e-13,0.8581873632935773,2.8765239114907613,4.140036162304993,11.513808308493799
2,500,4,3,"0.6412,0.6233,0.6428,0.6253",4.4071413185520214e-12,8.668621376273222e-13,0.8553211206029533,2.8411577604465994,4.1457615439498365,11.680237123465506
2,500,4,4,"0.6486,0.6324,0.6254,0.6428",1.496580637194711e-12,1.7030821197749901e-13,0.8533565285049498,2.8417531755753833,4.159487343181473,12.060188271260648
2,500,4,5,"0.6523,0.641,0.629,0.6297",4.453326596376428e-12,2.5135449277513544e-13,0.8396113160004265,2.232504799612148,4.102699585483888,9.539473139380021
2,500,4,6,"0.6628,0.6423,0.6196,0.632",4.573230683035945e-12,2.62456723021387e-13,0.8545269470785873,2.620137419454543,4.120940050158665,10.367656831787341
2,500,4,7,"0.6331,0.6292,0.6546,0.6464",1.9682033780554775e-12,4.4142467459096224e-13,0.8473708222170512,2.843984469932393,4.09651938530565,14.541604966928274
2,500,4,8,"0.609,0.6369,0.648,0.6026",2.660982545421575e-12,3.7925218521195347e-13,0.8705691606828281,2.8714245997823094,4.17698094784748,10.31487521063153
2,500,4,9,"0.6107,0.6347,0.6507,0.6306",3.369748924342275e-12,1.474376176702208e-13,0.8459648570094357,3.2688097792246733,4.2219424993525125,12.064598404380453
2,500,4,10,"0.6341,0.624,0.6191,0.626",3.469224907348689e-12,1.9184653865522705e-13,0.8621118215536494,2.158568447138841,4.23794370649425,10.437317736004402
2,800,4,1,"0.5781,0.5702,0.5902,0.6085",1.3281820088195673e-11,4.583000645652646e-13,0.8225677735889032,3.1541580935616333,4.3326225046300495,12.696411256563227
2,800,4,2,"0.5757,0.56,0.584,0.5794",6.681322162194192e-12,3.419486915845482e-13,0.8328934564335269,2.538126466170497,4.40075392139247,10.785218450309573
2,800,4,3,"0.6097,0.5929,0.6029,0.5923",4.122036045828281e-12,9.692247004977617e-13,0.8172015129588113,2.3532381190357117,4.382334762116431,10.904426544090537
2,800,4,4,"0.6012,0.5894,0.6078,0.6101",3.6424196991902136e-12,4.218847493575595e-13,0.7946477000435815,3.7953530898776355,4.513296880712533,11.393551681653122
2,800,4,5,"0.5764,0.6059,0.5872,0.5881",4.868105918376386e-12,1.177724584522366e-12,0.8264073310775585,3.9218997455762468,4.412023208205286,13.62617964364549
2,800,4,6,"0.5975,0.6062,0.5994,0.5942",8.273381979506667e-12,4.0678571622265736e-13,0.8006304342161755,3.5151255085526554,4.34691907651737,10.722036702663134
2,800,4,7,"0.6005,0.588,0.5615,0.5733",3.61843888185831e-12,7.158718062783009e-13,0.8130882675219299,2.9920387144165557,4.372187406160103,12.267292381458695
2,800,4,8,"0.5911,0.5891,0.6158,0.6038",4.350297899691213e-12,5.409006575973763e-13,0.812681514424116,2.728910132162434,4.334386438831794,13.173219502423544
2,800,4,9,"0.5742,0.5872,0.5927,0.5938",2.424727085781342e-12,1.865174681370263e-13,0.8141705107365943,3.509993212061809,4.43575145257382,11.018728748432595
2,800,4,10,"0.5945,0.5886,0.6049,0.5726",2.4311663793241678e-12,7.647216193618078e-13,0.8136523089355405,2.607519126679006,4.376254684873032,12.473096012041054
