"model","case","paper_case","tau","n","num_rep","seed_base","method","n_present","n_solver_ok","n_accepted","n_nonfinite","ierr_nonzero","failed_eval_nonzero","h_mismatch_count","fallback_count","retained_decomposition_failures","repair_total","repaired_points_total","internal_recovery_total","certificate_hits","residual_rows_checked","threshold_expansion_total","threshold_expansion_replications","first_retained_size_mean_of_max","first_retained_size_max","time_mean_sec","time_median_sec","time_min_sec","time_max_sec","max_average_relative_discrepancy","solver_stable","path_accepted","timing_order_balanced","discrepancy_valid","retained_decomposition_ok"
"llqr",2,2,0.5,1000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,3326,3044,0,435683,30671025,0,0,21.04,29,0.009432,0.00900000000000001,0.0079999999999999,0.026,4.66123250339279e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,2000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,2.558276,2.54,2.416,2.899,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,2000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.043424,0.0429999999999999,0.0379999999999998,0.07,1.25653936039928e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,2000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,1345,1312,0,897683,83866313,0,0,28.918,38,0.029482,0.029,0.0270000000000001,0.049,3.55205064359336e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,5000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,9.146076,9.167,8.509,9.911,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,5000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,0.285948,0.2825,0.247,0.382,2.53005710308171e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,5000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,219,219,0,2309725,326755951,0,0,43.304,63,0.165506,0.164,0.156000000000001,0.182,3.80128396157605e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,10000,500,2025,"direct_baseline",500,500,500,0,0,0,0,0,,,,,,,,,,,34.036438,34.0175,33.126,35.084,0,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,10000,500,2025,"lean_seq",500,500,500,0,0,0,0,0,,,,,,,,,,,1.229812,1.2175,1.053,1.639,2.8699646878796e-14,TRUE,TRUE,TRUE,TRUE,TRUE
"llqr",2,2,0.5,10000,500,2025,"unified_u11",500,500,500,0,0,0,0,0,0,37,37,0,4695916,916906104,0,0,59.134,79,0.68912,0.688,0.670999999999999,0.747999999999998,3.97828613848442e-16,TRUE,TRUE,TRUE,TRUE,TRUE
